# wave trans
3630.00 0.00
3655.00 0.00
3680.00 0.00
3705.00 0.00
3730.00 0.00
3755.00 0.00
3780.00 0.00
3805.00 0.01
3830.00 0.01
3855.00 0.02
3880.00 0.03
3905.00 0.05
3930.00 0.07
3955.00 0.09
3980.00 0.11
4005.00 0.13
4030.00 0.15
4055.00 0.17
4080.00 0.19
4105.00 0.20
4130.00 0.21
4155.00 0.22
4180.00 0.23
4205.00 0.24
4230.00 0.24
4255.00 0.25
4280.00 0.26
4305.00 0.26
4330.00 0.27
4355.00 0.27
4380.00 0.28
4405.00 0.29
4430.00 0.29
4455.00 0.29
4480.00 0.30
4505.00 0.30
4530.00 0.31
4555.00 0.31
4580.00 0.31
4605.00 0.32
4630.00 0.32
4655.00 0.33
4680.00 0.33
4705.00 0.33
4730.00 0.33
4755.00 0.33
4780.00 0.34
4805.00 0.34
4830.00 0.34
4855.00 0.34
4880.00 0.34
4905.00 0.35
4930.00 0.35
4955.00 0.35
4980.00 0.35
5005.00 0.36
5030.00 0.36
5055.00 0.36
5080.00 0.36
5105.00 0.36
5130.00 0.36
5155.00 0.36
5180.00 0.36
5205.00 0.36
5230.00 0.35
5255.00 0.32
5280.00 0.28
5305.00 0.23
5330.00 0.18
5355.00 0.14
5380.00 0.09
5405.00 0.05
5430.00 0.03
5455.00 0.02
5480.00 0.01
5505.00 0.01
5530.00 0.00
5555.00 0.00
5580.00 0.00
5605.00 0.00
5630.00 0.00
5655.00 0.00
5680.00 0.00
5705.00 0.00
5730.00 0.00
5755.00 0.00
5780.00 0.00
5805.00 0.00
5830.00 0.00
