# wave trans
6430.00 0.00
6455.00 0.00
6480.00 0.00
6505.00 0.00
6530.00 0.00
6555.00 0.00
6580.00 0.00
6605.00 0.00
6630.00 0.00
6655.00 0.00
6680.00 0.00
6705.00 0.01
6730.00 0.01
6755.00 0.02
6780.00 0.03
6805.00 0.06
6830.00 0.08
6855.00 0.12
6880.00 0.15
6905.00 0.19
6930.00 0.24
6955.00 0.29
6980.00 0.32
7005.00 0.35
7030.00 0.38
7055.00 0.40
7080.00 0.42
7105.00 0.42
7130.00 0.42
7155.00 0.39
7180.00 0.38
7205.00 0.38
7230.00 0.39
7255.00 0.39
7280.00 0.38
7305.00 0.38
7330.00 0.39
7355.00 0.39
7380.00 0.38
7405.00 0.38
7430.00 0.38
7455.00 0.37
7480.00 0.37
7505.00 0.36
7530.00 0.36
7555.00 0.36
7580.00 0.35
7605.00 0.15
7630.00 0.21
7655.00 0.26
7680.00 0.33
7705.00 0.33
7730.00 0.32
7755.00 0.32
7780.00 0.31
7805.00 0.31
7830.00 0.30
7855.00 0.30
7880.00 0.29
7905.00 0.29
7930.00 0.29
7955.00 0.29
7980.00 0.29
8005.00 0.29
8030.00 0.29
8055.00 0.28
8080.00 0.28
8105.00 0.26
8130.00 0.24
8155.00 0.21
8180.00 0.17
8205.00 0.13
8230.00 0.09
8255.00 0.06
8280.00 0.04
8305.00 0.02
8330.00 0.01
8355.00 0.01
8380.00 0.00
8405.00 0.00
8430.00 0.00
8455.00 0.00
8480.00 0.00
8505.00 0.00
8530.00 0.00
8555.00 0.00
8580.00 0.00
8605.00 0.00
8630.00 0.00
