# wave trans
5380.00 0.00
5405.00 0.00
5430.00 0.01
5455.00 0.03
5480.00 0.05
5505.00 0.08
5530.00 0.12
5555.00 0.16
5580.00 0.21
5605.00 0.26
5630.00 0.30
5655.00 0.33
5680.00 0.36
5705.00 0.38
5730.00 0.40
5755.00 0.41
5780.00 0.43
5805.00 0.43
5830.00 0.44
5855.00 0.44
5880.00 0.45
5905.00 0.45
5930.00 0.46
5955.00 0.46
5980.00 0.46
6005.00 0.47
6030.00 0.47
6055.00 0.47
6080.00 0.47
6105.00 0.47
6130.00 0.47
6155.00 0.47
6180.00 0.48
6205.00 0.48
6230.00 0.48
6255.00 0.48
6280.00 0.49
6305.00 0.49
6330.00 0.49
6355.00 0.49
6380.00 0.49
6405.00 0.49
6430.00 0.49
6455.00 0.49
6480.00 0.49
6505.00 0.49
6530.00 0.49
6555.00 0.49
6580.00 0.49
6605.00 0.48
6630.00 0.47
6655.00 0.44
6680.00 0.40
6705.00 0.35
6730.00 0.29
6755.00 0.23
6780.00 0.17
6805.00 0.12
6830.00 0.07
6855.00 0.04
6880.00 0.02
6905.00 0.01
6930.00 0.01
6955.00 0.01
6980.00 0.01
7005.00 0.00
7030.00 0.00
7055.00 0.00
7080.00 0.00
7105.00 0.00
7130.00 0.00
7155.00 0.00
7180.00 0.00
7205.00 0.00
7230.00 0.00
