# wave trans
2980.00 0.00
3005.00 0.00
3030.00 0.00
3055.00 0.00
3080.00 0.00
3105.00 0.01
3130.00 0.01
3155.00 0.02
3180.00 0.02
3205.00 0.03
3230.00 0.04
3255.00 0.05
3280.00 0.06
3305.00 0.06
3330.00 0.07
3355.00 0.08
3380.00 0.08
3405.00 0.08
3430.00 0.09
3455.00 0.09
3480.00 0.10
3505.00 0.10
3530.00 0.10
3555.00 0.10
3580.00 0.11
3605.00 0.11
3630.00 0.11
3655.00 0.11
3680.00 0.11
3705.00 0.11
3730.00 0.10
3755.00 0.10
3780.00 0.09
3805.00 0.08
3830.00 0.07
3855.00 0.05
3880.00 0.04
3905.00 0.03
3930.00 0.01
3955.00 0.01
3980.00 0.00
4005.00 0.00
4030.00 0.00
4055.00 0.00
4080.00 0.00
4105.00 0.00
4130.00 0.00
