# wave trans
7730.00 0.00
7755.00 0.00
7780.00 0.00
7805.00 0.00
7830.00 0.00
7855.00 0.00
7880.00 0.00
7905.00 0.00
7930.00 0.00
7955.00 0.00
7980.00 0.00
8005.00 0.00
8030.00 0.00
8055.00 0.00
8080.00 0.01
8105.00 0.01
8130.00 0.01
8155.00 0.01
8180.00 0.02
8205.00 0.02
8230.00 0.03
8255.00 0.03
8280.00 0.04
8305.00 0.04
8330.00 0.05
8355.00 0.06
8380.00 0.06
8405.00 0.06
8430.00 0.07
8455.00 0.07
8480.00 0.07
8505.00 0.07
8530.00 0.08
8555.00 0.08
8580.00 0.08
8605.00 0.08
8630.00 0.08
8655.00 0.08
8680.00 0.08
8705.00 0.08
8730.00 0.08
8755.00 0.08
8780.00 0.08
8805.00 0.07
8830.00 0.07
8855.00 0.07
8880.00 0.07
8905.00 0.07
8930.00 0.06
8955.00 0.06
8980.00 0.05
9005.00 0.05
9030.00 0.05
9055.00 0.05
9080.00 0.05
9105.00 0.05
9130.00 0.05
9155.00 0.05
9180.00 0.05
9205.00 0.05
9230.00 0.05
9255.00 0.04
9280.00 0.04
9305.00 0.03
9330.00 0.03
9355.00 0.03
9380.00 0.03
9405.00 0.03
9430.00 0.03
9455.00 0.03
9480.00 0.03
9505.00 0.03
9530.00 0.02
9555.00 0.02
9580.00 0.03
9605.00 0.03
9630.00 0.03
9655.00 0.03
9680.00 0.03
9705.00 0.03
9730.00 0.03
9755.00 0.02
9780.00 0.02
9805.00 0.02
9830.00 0.02
9855.00 0.02
9880.00 0.02
9905.00 0.02
9930.00 0.02
9955.00 0.02
9980.00 0.01
10005.00 0.01
10030.00 0.01
10055.00 0.01
10080.00 0.01
10105.00 0.01
10130.00 0.01
10155.00 0.01
10180.00 0.01
10205.00 0.01
10230.00 0.01
10255.00 0.01
10280.00 0.00
10305.00 0.00
10330.00 0.00
10355.00 0.00
10380.00 0.00
10405.00 0.00
10430.00 0.00
10455.00 0.00
10480.00 0.00
10505.00 0.00
10530.00 0.00
10555.00 0.00
10580.00 0.00
10605.00 0.00
10630.00 0.00
10655.00 0.00
10680.00 0.00
10705.00 0.00
10730.00 0.00
10755.00 0.00
10780.00 0.00
10805.00 0.00
10830.00 0.00
10855.00 0.00
10880.00 0.00
10905.00 0.00
10930.00 0.00
10955.00 0.00
10980.00 0.00
11005.00 0.00
11030.00 0.00
11055.00 0.00
11080.00 0.00
11105.00 0.00
11130.00 0.00
11155.00 0.00
11180.00 0.00
11205.00 0.00
11230.00 0.00
