# Wavelength_[A] F_lambda_[norm]
1150.000 2.55588
1155.000 2.85923
1160.000 1.99775
1165.000 0.00000
1170.000 0.07819
1175.000 0.00000
1180.000 0.00000
1185.000 0.00000
1190.000 0.00000
1195.000 0.00000
1200.000 0.01412
1205.000 0.14279
1210.000 0.31354
1215.000 0.43561
1220.000 0.53799
1225.000 0.46238
1230.000 0.48673
1235.000 0.50995
1240.000 0.46131
1245.000 0.63245
1250.000 1.26253
1255.000 1.51190
1260.000 1.44837
1265.000 2.30095
1270.000 4.03675
1275.000 4.77293
1280.000 6.53843
1285.000 7.64856
1290.000 8.20602
1295.000 9.17641
1300.000 7.99215
1305.000 6.54532
1310.000 7.85738
1315.000 11.46720
1320.000 12.89590
1325.000 12.89376
1330.000 12.19100
1335.000 12.95611
1340.000 15.87899
1345.000 16.14934
1350.000 14.64048
1355.000 13.61427
1360.000 14.02294
1365.000 14.14542
1370.000 14.26831
1375.000 15.12642
1380.000 15.03570
1385.000 15.52581
1390.000 15.82468
1395.000 15.16965
1400.000 15.47727
1405.000 16.23106
1410.000 15.99722
1415.000 16.66121
1420.000 17.84685
1425.000 18.34469
1430.000 17.15607
1435.000 16.68849
1440.000 18.41978
1445.000 19.78320
1450.000 20.90620
1455.000 20.87695
1460.000 20.40975
1465.000 19.20755
1470.000 18.50088
1475.000 18.73948
1480.000 19.51064
1485.000 21.37433
1490.000 22.88950
1495.000 23.17677
1500.000 23.68861
1505.000 21.77574
1510.000 19.30382
1515.000 20.07636
1520.000 21.98685
1525.000 20.46841
1530.000 19.82903
1535.000 20.49826
1540.000 22.19865
1545.000 22.54755
1550.000 21.95583
1555.000 21.14442
1560.000 20.66621
1565.000 21.65676
1570.000 21.28430
1575.000 21.53566
1580.000 23.21160
1585.000 22.98225
1590.000 22.56212
1595.000 22.28366
1600.000 22.78557
1605.000 22.14840
1610.000 22.02509
1615.000 22.08066
1620.000 21.72804
1625.000 21.77874
1630.000 22.01565
1635.000 21.59383
1640.000 21.04628
1645.000 21.48458
1650.000 20.48097
1655.000 18.38170
1660.000 19.36070
1665.000 20.66485
1670.000 18.76312
1675.000 19.84548
1680.000 21.51321
1685.000 21.56896
1690.000 21.36608
1695.000 21.12074
1700.000 21.02572
1705.000 20.76801
1710.000 21.06720
1715.000 20.95275
1720.000 20.23738
1725.000 20.31877
1730.000 21.16349
1735.000 21.09198
1740.000 21.38853
1745.000 21.89722
1750.000 22.46124
1755.000 23.21510
1760.000 21.85855
1765.000 20.83419
1770.000 21.76748
1775.000 22.76208
1780.000 22.66717
1785.000 20.07367
1790.000 17.44487
1795.000 22.00136
1800.000 23.79983
1805.000 22.81456
1810.000 22.65018
1815.000 22.84471
1820.000 23.01243
1825.000 22.71425
1830.000 22.07952
1835.000 21.73524
1840.000 20.73277
1845.000 20.39237
1850.000 20.99487
1855.000 21.00712
1860.000 21.12513
1865.000 21.41998
1870.000 22.01673
1875.000 21.93064
1880.000 21.92783
1885.000 21.80260
1890.000 21.31141
1895.000 20.62310
