# Wavelength_[A] F_lambda_[norm]
1150.000 4535.76982
1155.000 3578.41129
1160.000 3058.44143
1165.000 3007.06715
1170.000 2687.91029
1175.000 2138.20571
1180.000 2330.33812
1185.000 2595.75151
1190.000 2399.23346
1195.000 2135.13370
1200.000 2148.06682
1205.000 1969.09261
1210.000 1566.70410
1215.000 906.07225
1220.000 1425.87327
1225.000 2250.92557
1230.000 2446.11194
1235.000 2526.90048
1240.000 2505.25554
1245.000 2418.10385
1250.000 2327.32190
1255.000 2341.88028
1260.000 2416.09393
1265.000 2528.41742
1270.000 2512.19603
1275.000 2497.36068
1280.000 2488.53337
1285.000 2434.49777
1290.000 2456.58973
1295.000 2315.31895
1300.000 2169.27743
1305.000 2255.22362
1310.000 2477.33793
1315.000 2394.59651
1320.000 2369.05687
1325.000 2250.29760
1330.000 2272.28821
1335.000 2099.07933
1340.000 2068.93657
1345.000 2064.05854
1350.000 2067.65782
1355.000 2082.54179
1360.000 2022.22099
1365.000 2006.30467
1370.000 1992.58333
1375.000 1929.29515
1380.000 1892.34958
1385.000 1793.71050
1390.000 1611.89107
1395.000 1347.29028
1400.000 1418.17229
1405.000 1460.47717
1410.000 1613.76065
1415.000 1652.49460
1420.000 1594.75210
1425.000 1531.55951
1430.000 1499.93635
1435.000 1594.51310
1440.000 1574.19111
1445.000 1563.09119
1450.000 1549.88262
1455.000 1514.77834
1460.000 1503.47674
1465.000 1502.59016
1470.000 1515.18743
1475.000 1521.54168
1480.000 1502.59906
1485.000 1502.96940
1490.000 1534.11875
1495.000 1475.61369
1500.000 1378.69579
1505.000 1359.97507
1510.000 1387.22510
1515.000 1375.01699
1520.000 1398.01127
1525.000 1296.69036
1530.000 1183.92629
1535.000 1137.78558
1540.000 1129.48645
1545.000 965.58812
1550.000 823.21969
1555.000 1035.21886
1560.000 1124.80865
1565.000 1094.32215
1570.000 1114.25054
1575.000 1132.58484
1580.000 1119.46254
1585.000 1159.58212
1590.000 1155.55712
1595.000 1101.17441
1600.000 1081.35877
1605.000 1037.51304
1610.000 984.88061
1615.000 993.92005
1620.000 979.52600
1625.000 980.10393
1630.000 974.60899
1635.000 985.32712
1640.000 964.92812
1645.000 998.02802
1650.000 1051.36813
1655.000 997.48085
1660.000 957.26920
1665.000 977.69375
1670.000 952.71295
1675.000 958.45797
1680.000 1001.83903
1685.000 995.26597
1690.000 953.64354
1695.000 954.96558
1700.000 948.76019
1705.000 936.41597
1710.000 944.84414
1715.000 918.30959
1720.000 843.28705
1725.000 840.52364
1730.000 884.72757
1735.000 916.86765
1740.000 901.61767
1745.000 901.85205
1750.000 883.58032
1755.000 893.82804
1760.000 917.61934
1765.000 913.46316
1770.000 901.00177
1775.000 887.14526
1780.000 882.23233
1785.000 857.59756
1790.000 784.52380
1795.000 805.09022
1800.000 847.27372
1805.000 828.06653
1810.000 821.91180
1815.000 833.68154
1820.000 835.73690
1825.000 835.25678
1830.000 842.23379
1835.000 838.95603
1840.000 800.84629
1845.000 765.52778
1850.000 755.65502
1855.000 750.32524
1860.000 752.96367
1865.000 759.79956
1870.000 748.16253
1875.000 742.18659
1880.000 738.38098
1885.000 699.56817
1890.000 679.24898
1895.000 682.73212
1900.000 688.73072
1905.000 677.90067
1910.000 670.77253
1915.000 656.22881
1920.000 624.96313
1925.000 616.07562
1930.000 642.22324
1935.000 668.59164
1940.000 659.36009
1945.000 663.60756
1950.000 655.84369
1955.000 637.88569
1960.000 604.73631
1965.000 599.76791
1970.000 609.26439
1975.000 615.47034
1980.000 617.87310
1985.000 610.06464
1990.000 589.52240
1995.000 578.30833
2000.000 573.23059
2005.000 583.39663
2010.000 574.40720
2015.000 582.44872
2020.000 588.91570
2025.000 597.75618
2030.000 594.20326
2035.000 592.95187
2040.000 585.77442
2045.000 577.63865
2050.000 582.62305
2055.000 550.42871
2060.000 501.51498
2065.000 522.38166
2070.000 556.13800
2075.000 564.44092
2080.000 548.52716
2085.000 553.70082
2090.000 550.67261
2095.000 533.88359
2100.000 513.09920
2105.000 519.80773
2110.000 520.28146
2115.000 535.35786
2120.000 530.27017
2125.000 523.89572
2130.000 547.78270
2135.000 522.41992
2140.000 518.84495
2145.000 522.19767
2150.000 504.40508
2155.000 502.60549
2160.000 503.69197
2165.000 490.50024
2170.000 490.19579
2175.000 480.29571
2180.000 481.72669
2185.000 471.52049
2190.000 476.96348
2195.000 483.98930
2200.000 480.04628
2205.000 468.07631
2210.000 452.87996
2215.000 447.55187
2220.000 439.59266
2225.000 428.48553
2230.000 423.82618
2235.000 431.51008
2240.000 439.87773
2245.000 433.40462
2250.000 423.70665
2255.000 419.76855
2260.000 425.82424
2265.000 425.38870
2270.000 414.03603
2275.000 408.54480
2280.000 416.38002
2285.000 413.70348
2290.000 404.39435
2295.000 400.49715
2300.000 380.72574
2305.000 375.22564
2310.000 393.51393
2315.000 397.41019
2320.000 401.53262
2325.000 391.72125
2330.000 393.98932
2335.000 403.37488
2340.000 382.55179
2345.000 376.89120
2350.000 376.87569
2355.000 385.17336
2360.000 396.77544
2365.000 389.54921
2370.000 382.96254
2375.000 382.02775
2380.000 366.73758
2385.000 360.93538
2390.000 351.20469
2395.000 352.83414
2400.000 355.10719
2405.000 369.09073
2410.000 361.92492
2415.000 356.58255
2420.000 357.59756
2425.000 345.44555
2430.000 356.45407
2435.000 367.09051
2440.000 364.22639
2445.000 344.78638
2450.000 349.53813
2455.000 359.90207
2460.000 358.04190
2465.000 367.52361
2470.000 350.27955
2475.000 333.92562
2480.000 340.09670
2485.000 345.85146
2490.000 349.56475
2495.000 342.00030
2500.000 347.05919
2505.000 344.79934
2510.000 338.78240
2515.000 319.51769
2520.000 327.56938
2525.000 321.68517
2530.000 334.87668
2535.000 344.27350
2540.000 323.62526
2545.000 318.89446
2550.000 323.99997
2555.000 326.86165
2560.000 323.09390
2565.000 318.96052
2570.000 318.82728
2575.000 331.70875
2580.000 292.94536
2585.000 273.51638
2590.000 295.84500
2595.000 309.07320
2600.000 322.43791
2605.000 306.39341
2610.000 310.13851
2615.000 322.68595
2620.000 316.95415
2625.000 314.46058
2630.000 315.44539
2635.000 317.46171
2640.000 319.94877
2645.000 309.45991
2650.000 306.63857
2655.000 305.90836
2660.000 295.83799
2665.000 285.95977
2670.000 288.46467
2675.000 293.01995
2680.000 288.71932
2685.000 284.74914
2690.000 291.70066
2695.000 280.39166
2700.000 264.56983
2705.000 266.58807
2710.000 279.78337
2715.000 272.72744
2720.000 269.51371
2725.000 260.06190
2730.000 265.47604
2735.000 266.11227
2740.000 264.11149
2745.000 259.99739
2750.000 276.03345
2755.000 269.16005
2760.000 267.16884
2765.000 281.11036
2770.000 266.81706
2775.000 254.86149
2780.000 250.90908
2785.000 244.67745
2790.000 236.87125
2795.000 240.75664
2800.000 230.55905
2805.000 229.38854
2810.000 239.07406
2815.000 246.73166
2820.000 253.30158
2825.000 247.36297
2830.000 229.82026
2835.000 228.27587
2840.000 238.33349
2845.000 235.61039
2850.000 229.82699
2855.000 222.43280
2860.000 227.46397
2865.000 232.99274
2870.000 229.82177
2875.000 225.79706
2880.000 229.02205
2885.000 226.98306
2890.000 226.00624
2895.000 228.73486
2900.000 228.78595
2905.000 222.27321
2910.000 218.64636
2915.000 217.70560
2920.000 216.38012
2925.000 217.24215
2930.000 219.41371
2935.000 218.76780
2940.000 215.39959
2945.000 215.97472
2950.000 211.17506
2955.000 212.04612
2960.000 216.21838
2965.000 212.16037
2970.000 211.82554
2975.000 206.10587
2980.000 208.02232
2985.000 207.30058
2990.000 201.95738
2995.000 202.21491
3000.000 204.70646
3005.000 202.71467
3010.000 202.58341
3015.000 198.56335
3020.000 195.34003
3025.000 189.72244
3030.000 183.76557
3035.000 188.83952
3040.000 189.91594
3045.000 189.32876
3050.000 190.19896
3055.000 190.53181
3060.000 185.09861
3065.000 182.35778
3070.000 185.03095
3075.000 182.13569
3080.000 184.35743
3085.000 187.15403
3090.000 185.58132
3095.000 185.61181
3100.000 182.86644
3105.000 186.63106
3110.000 180.60100
3115.000 175.72021
3120.000 173.63015
3125.000 179.33527
3130.000 181.35603
3135.000 183.76651
3140.000 182.66180
3145.000 178.96921
3150.000 177.68759
3155.000 174.38873
3160.000 170.78213
3165.000 172.78520
3170.000 172.92030
3175.000 174.42758
3180.000 165.76791
3185.000 162.97394
3190.000 166.02409
3195.000 164.87776
3200.000 167.69547
3205.000 168.92153
3210.000 168.56231
3215.000 164.83586
3220.000 161.43052
3225.000 162.10296
3230.000 165.41285
3235.000 168.73486
3240.000 169.90002
3245.000 167.65002
3250.000 163.91288
3255.000 161.08021
3260.000 160.21176
3265.000 161.22392
3270.000 160.79114
3275.000 156.31698
3280.000 151.36318
3285.000 149.78114
3290.000 150.42325
3295.000 151.19286
3300.000 151.19638
3305.000 150.14260
3310.000 148.94660
3315.000 148.55507
3320.000 148.83479
3325.000 149.39405
3330.000 149.88717
3335.000 149.95966
3340.000 149.17648
3345.000 147.42328
3350.000 145.94950
3355.000 145.82723
3360.000 146.05539
3365.000 145.34121
3370.000 143.29808
3375.000 140.24785
3380.000 138.43955
3385.000 139.60926
3390.000 141.51347
3395.000 141.68568
3400.000 140.74661
3405.000 139.83317
3410.000 139.05999
3415.000 138.30158
3420.000 137.49462
3425.000 136.56206
3430.000 135.30964
3435.000 133.72249
3440.000 132.62095
3445.000 132.66648
3450.000 133.05018
3455.000 132.89502
3460.000 132.52175
3465.000 132.33449
3470.000 131.87230
3475.000 130.70458
3480.000 129.38668
3485.000 128.54891
3490.000 128.13550
3495.000 127.84264
3500.000 127.05975
3505.000 125.41793
3510.000 123.44638
3515.000 124.12335
3520.000 124.41919
3525.000 123.84611
3530.000 122.69713
3535.000 122.14499
3540.000 122.09893
3545.000 121.22292
3550.000 119.23930
3555.000 119.48050
3560.000 118.79620
3565.000 117.33008
3570.000 115.98612
3575.000 114.82685
3580.000 112.93847
3585.000 111.74419
3590.000 111.14854
3595.000 111.60278
3600.000 111.23015
3605.000 110.09301
3610.000 108.59681
3615.000 108.31005
3620.000 108.89002
3625.000 107.90986
3630.000 106.12878
3635.000 106.38139
3640.000 107.20601
3645.000 107.77834
3650.000 108.25990
3655.000 109.90935
3660.000 110.00753
3665.000 107.58511
3670.000 106.52893
3675.000 105.32634
3680.000 105.67707
3685.000 106.00003
3690.000 106.10243
3695.000 104.61692
3700.000 102.38512
3705.000 100.27514
3710.000 102.18423
3715.000 103.59675
3720.000 103.73992
3725.000 103.34984
3730.000 104.31115
3735.000 103.77673
3740.000 105.75062
3745.000 103.58083
3750.000 99.44813
3755.000 101.24231
3760.000 103.47402
3765.000 103.20222
3770.000 98.32451
3775.000 103.20501
3780.000 111.76119
3785.000 113.99828
3790.000 110.13542
3795.000 101.41575
3800.000 101.67990
3805.000 110.46986
3810.000 115.95999
3815.000 115.28267
3820.000 113.77657
3825.000 114.32433
3830.000 106.40430
3835.000 97.85079
3840.000 103.85783
3845.000 112.57384
3850.000 114.96367
3855.000 115.56811
3860.000 115.29405
3865.000 113.32599
3870.000 111.12208
3875.000 109.65330
3880.000 103.99602
3885.000 94.40360
3890.000 89.90134
3895.000 99.22682
3900.000 106.80846
3905.000 108.94189
3910.000 108.96658
3915.000 108.50403
3920.000 106.21714
3925.000 104.16734
3930.000 104.06486
3935.000 101.99180
3940.000 104.18189
3945.000 104.49271
3950.000 103.93135
3955.000 101.93130
3960.000 96.39128
3965.000 85.72497
3970.000 79.55370
3975.000 87.10592
3980.000 94.87160
3985.000 97.63467
3990.000 98.70698
3995.000 98.27038
4000.000 96.97147
4005.000 96.20996
4010.000 95.44635
4015.000 95.33387
4020.000 92.36851
4025.000 88.03423
4030.000 89.37327
4035.000 92.21069
4040.000 92.73975
4045.000 93.30023
4050.000 94.07586
4055.000 93.24123
4060.000 92.72884
4065.000 91.85818
4070.000 89.05031
4075.000 89.10713
4080.000 89.42869
4085.000 87.97897
4090.000 84.61297
4095.000 78.90180
4100.000 71.35509
4105.000 73.12294
4110.000 80.33799
4115.000 83.36571
4120.000 84.72929
4125.000 85.71149
4130.000 85.93490
4135.000 85.16037
4140.000 83.85111
4145.000 82.09890
4150.000 82.53294
4155.000 82.61350
4160.000 82.59328
4165.000 82.88101
4170.000 81.62007
4175.000 81.29539
4180.000 80.80572
4185.000 79.48128
4190.000 78.82166
4195.000 78.02923
4200.000 76.98580
4205.000 77.76301
4210.000 78.12544
4215.000 77.81567
4220.000 78.03079
4225.000 78.21625
4230.000 77.02167
4235.000 77.21238
4240.000 76.79735
4245.000 75.87391
4250.000 75.55599
4255.000 75.06177
4260.000 74.37719
4265.000 74.77218
4270.000 74.68304
4275.000 73.64298
4280.000 74.08016
4285.000 74.20738
4290.000 74.07250
4295.000 74.42979
4300.000 73.93643
4305.000 72.84906
4310.000 72.40357
4315.000 71.75040
4320.000 71.06101
4325.000 70.45665
4330.000 67.52727
4335.000 62.05539
4340.000 56.17541
4345.000 58.64298
4350.000 64.14693
4355.000 67.50672
4360.000 68.68993
4365.000 68.67366
4370.000 68.36896
4375.000 67.85326
4380.000 67.70168
4385.000 65.89201
4390.000 64.79246
4395.000 66.74414
4400.000 66.73846
4405.000 65.95614
4410.000 65.06136
4415.000 63.91288
4420.000 63.43995
4425.000 62.29830
4430.000 61.24844
4435.000 61.41473
4440.000 62.12154
4445.000 62.85283
4450.000 63.08686
4455.000 63.32903
4460.000 62.79824
4465.000 60.41164
4470.000 57.12265
4475.000 58.11912
4480.000 60.19579
4485.000 61.04749
4490.000 61.69046
4495.000 61.46402
4500.000 60.94299
4505.000 60.49817
4510.000 60.16680
4515.000 59.59901
4520.000 60.12878
4525.000 59.48204
4530.000 58.77235
4535.000 57.99645
4540.000 57.35872
4545.000 57.80472
4550.000 57.67683
4555.000 58.07158
4560.000 58.14402
4565.000 57.86299
4570.000 57.15782
4575.000 57.10727
4580.000 57.07075
4585.000 56.69288
4590.000 55.67196
4595.000 55.46881
4600.000 55.67602
4605.000 55.39564
4610.000 54.53802
4615.000 54.35197
4620.000 54.74067
4625.000 54.19280
4630.000 53.28221
4635.000 52.80897
4640.000 51.87905
4645.000 50.78999
4650.000 50.21289
4655.000 51.81010
4660.000 52.31723
4665.000 52.39195
4670.000 52.75557
4675.000 51.64198
4680.000 50.50148
4685.000 49.25056
4690.000 50.15048
4695.000 50.86342
4700.000 50.58756
4705.000 50.16091
4710.000 49.38249
4715.000 49.35315
4720.000 49.55480
4725.000 49.40908
4730.000 49.13746
4735.000 49.07575
4740.000 48.93869
4745.000 48.60971
4750.000 48.18049
4755.000 47.86369
4760.000 47.50637
4765.000 47.41191
4770.000 47.38443
4775.000 47.05316
4780.000 47.07578
4785.000 47.23690
4790.000 47.53751
4795.000 47.32451
4800.000 46.83433
4805.000 46.39965
4810.000 45.83527
4815.000 45.56136
4820.000 45.58054
4825.000 45.54679
4830.000 45.31857
4835.000 45.77657
4840.000 45.31766
4845.000 44.46077
4850.000 42.45948
4855.000 38.72195
