# Wavelength_[A] F_lambda_[norm]
1150.000 0.27201
1155.000 0.23635
1160.000 0.19348
1165.000 0.01259
1170.000 0.00000
1175.000 0.01463
1180.000 0.00000
1185.000 0.00000
1190.000 0.00000
1195.000 0.00000
1200.000 0.03227
1205.000 0.08098
1210.000 0.26982
1215.000 0.43424
1220.000 0.25853
1225.000 0.05356
1230.000 0.01672
1235.000 0.01695
1240.000 0.01876
1245.000 0.01245
1250.000 0.02117
1255.000 0.01752
1260.000 0.01379
1265.000 0.00278
1270.000 0.00728
1275.000 0.00420
1280.000 0.01008
1285.000 0.00173
1290.000 0.00000
1295.000 0.00000
1300.000 0.00000
1305.000 0.00718
1310.000 0.00440
1315.000 0.00143
1320.000 0.00280
1325.000 0.00000
1330.000 0.00000
1335.000 0.01851
1340.000 0.01460
1345.000 0.00793
1350.000 0.00828
1355.000 0.01444
1360.000 0.01547
1365.000 0.00042
1370.000 0.00066
1375.000 0.00726
1380.000 0.01272
1385.000 0.00184
1390.000 0.00075
1395.000 0.00943
1400.000 0.00000
1405.000 0.00000
1410.000 0.00872
1415.000 0.00628
1420.000 0.01097
1425.000 0.02164
1430.000 0.01580
1435.000 0.01824
1440.000 0.01794
1445.000 0.01381
1450.000 0.01244
1455.000 0.02058
1460.000 0.02101
1465.000 0.01074
1470.000 0.01906
1475.000 0.02415
1480.000 0.02619
1485.000 0.03742
1490.000 0.02565
1495.000 0.02950
1500.000 0.03832
1505.000 0.03851
1510.000 0.03865
1515.000 0.02956
1520.000 0.02821
1525.000 0.03465
1530.000 0.03022
1535.000 0.04452
1540.000 0.05252
1545.000 0.05100
1550.000 0.06381
1555.000 0.06208
1560.000 0.05368
1565.000 0.06303
1570.000 0.05410
1575.000 0.05377
1580.000 0.06464
1585.000 0.06776
1590.000 0.06317
1595.000 0.06206
1600.000 0.07534
1605.000 0.09933
1610.000 0.12674
1615.000 0.08358
1620.000 0.07673
1625.000 0.08415
1630.000 0.09087
1635.000 0.09537
1640.000 0.11099
1645.000 0.11720
1650.000 0.11519
1655.000 0.09932
1660.000 0.10195
1665.000 0.14429
1670.000 0.13039
1675.000 0.15535
1680.000 0.19395
1685.000 0.20534
1690.000 0.25355
1695.000 0.30573
1700.000 0.41281
1705.000 0.55737
1710.000 0.78219
1715.000 0.96938
1720.000 1.00556
1725.000 0.97350
1730.000 1.16788
1735.000 1.18251
1740.000 1.16639
1745.000 1.26341
1750.000 1.47709
1755.000 1.65036
1760.000 1.56869
1765.000 1.44506
1770.000 1.67503
1775.000 2.02608
1780.000 2.19031
1785.000 2.04738
1790.000 2.05551
1795.000 2.38964
1800.000 2.45964
1805.000 2.14868
1810.000 2.00652
1815.000 2.20630
1820.000 2.27625
1825.000 2.36146
1830.000 2.23928
1835.000 2.13131
1840.000 1.88239
1845.000 1.67522
1850.000 1.62018
1855.000 1.73197
1860.000 1.87423
1865.000 2.03801
1870.000 2.22161
1875.000 2.24520
1880.000 2.31899
1885.000 2.43435
1890.000 2.41233
1895.000 2.32001
1900.000 2.17356
1905.000 2.25354
1910.000 2.30130
1915.000 2.44820
1920.000 2.53144
1925.000 2.28821
1930.000 1.84897
1935.000 1.78571
1940.000 2.43196
1945.000 2.93687
1950.000 3.00699
1955.000 2.93553
1960.000 2.76610
1965.000 2.75185
1970.000 2.75085
1975.000 3.09442
1980.000 2.99500
1985.000 3.02661
1990.000 2.77198
1995.000 2.39908
2000.000 2.50624
2005.000 2.59025
2010.000 2.45230
2015.000 2.59822
2020.000 2.61843
2025.000 2.72922
2030.000 2.72693
2035.000 2.85967
2040.000 2.91626
2045.000 2.89060
2050.000 3.21919
2055.000 3.41418
2060.000 3.06943
2065.000 3.00349
2070.000 3.26258
2075.000 3.44205
2080.000 3.81224
2085.000 4.00838
2090.000 3.91718
2095.000 3.65792
2100.000 3.55428
2105.000 3.53891
2110.000 3.45283
2115.000 3.43890
2120.000 3.36783
2125.000 3.72636
2130.000 3.87895
2135.000 3.16010
2140.000 2.68625
2145.000 2.90889
2150.000 3.21911
2155.000 3.37805
2160.000 3.43178
2165.000 3.15688
2170.000 3.06081
2175.000 2.82564
2180.000 2.84505
2185.000 3.14314
2190.000 3.51028
2195.000 3.74626
2200.000 3.95192
2205.000 4.12093
2210.000 3.74940
2215.000 3.26266
2220.000 3.02872
2225.000 2.99457
2230.000 3.08622
2235.000 3.19161
2240.000 3.56668
2245.000 3.34930
2250.000 3.01184
2255.000 2.95689
2260.000 2.98130
2265.000 2.88789
2270.000 2.83060
2275.000 2.70965
2280.000 2.77810
2285.000 2.96271
2290.000 3.41906
2295.000 3.38196
2300.000 3.05438
2305.000 2.76374
2310.000 2.88581
2315.000 3.09770
2320.000 2.99035
2325.000 3.08876
2330.000 2.95463
2335.000 2.74569
2340.000 2.39742
2345.000 2.14452
2350.000 1.89209
2355.000 2.04806
2360.000 2.56831
2365.000 2.43005
2370.000 2.30289
2375.000 2.48386
2380.000 2.51197
2385.000 2.21315
2390.000 1.88088
2395.000 2.09871
2400.000 2.12875
2405.000 2.01072
2410.000 1.94006
2415.000 1.87258
2420.000 2.27064
2425.000 2.86359
2430.000 3.14023
2435.000 2.99760
2440.000 2.87950
2445.000 3.02076
2450.000 3.03737
2455.000 2.88699
2460.000 2.91723
2465.000 2.88571
2470.000 2.64419
2475.000 2.65659
2480.000 2.77389
2485.000 2.70686
2490.000 2.65746
2495.000 2.60924
2500.000 2.94388
2505.000 3.23480
2510.000 3.13432
2515.000 2.93316
2520.000 2.62565
2525.000 2.35029
2530.000 2.21249
2535.000 2.18545
2540.000 2.21738
2545.000 2.22929
2550.000 2.34208
2555.000 2.50013
2560.000 2.86733
2565.000 3.02133
2570.000 3.25498
2575.000 3.54006
2580.000 3.00914
2585.000 2.88438
2590.000 3.24986
2595.000 3.46085
2600.000 3.27066
2605.000 2.94563
2610.000 2.85020
2615.000 2.68488
2620.000 2.98801
2625.000 3.32662
