# Wavelength_[A] F_lambda_[norm]
1150.000 0.03927
1155.000 0.04417
1160.000 0.03623
1165.000 0.00277
1170.000 0.00000
1175.000 0.00000
1180.000 0.00968
1185.000 0.00646
1190.000 0.00000
1195.000 0.00000
1200.000 0.00755
1205.000 0.02649
1210.000 0.11264
1215.000 0.19822
1220.000 0.12201
1225.000 0.02114
1230.000 0.00275
1235.000 0.00289
1240.000 0.00253
1245.000 0.00167
1250.000 0.00129
1255.000 0.00135
1260.000 0.00130
1265.000 0.00000
1270.000 0.00000
1275.000 0.00063
1280.000 0.00235
1285.000 0.00215
1290.000 0.00043
1295.000 0.00042
1300.000 0.00129
1305.000 0.00000
1310.000 0.00097
1315.000 0.00202
1320.000 0.00154
1325.000 0.00096
1330.000 0.00148
1335.000 0.00126
1340.000 0.00045
1345.000 0.00006
1350.000 0.00061
1355.000 0.00119
1360.000 0.00138
1365.000 0.00178
1370.000 0.00104
1375.000 0.00164
1380.000 0.00214
1385.000 0.00190
1390.000 0.00052
1395.000 0.00158
1400.000 0.00225
1405.000 0.00305
1410.000 0.00253
1415.000 0.00065
1420.000 0.00000
1425.000 0.00099
1430.000 0.00213
1435.000 0.00154
1440.000 0.00265
1445.000 0.00549
1450.000 0.00437
1455.000 0.00212
1460.000 0.00099
1465.000 0.00138
1470.000 0.00254
1475.000 0.00295
1480.000 0.00294
1485.000 0.00212
1490.000 0.00226
1495.000 0.00254
1500.000 0.00251
1505.000 0.00241
1510.000 0.00238
1515.000 0.00236
1520.000 0.00212
1525.000 0.00222
1530.000 0.00272
1535.000 0.00330
1540.000 0.00358
1545.000 0.00537
1550.000 0.00521
1555.000 0.00303
1560.000 0.00386
1565.000 0.00405
1570.000 0.00403
1575.000 0.00477
1580.000 0.00363
1585.000 0.00358
1590.000 0.00378
1595.000 0.00266
1600.000 0.00217
1605.000 0.00336
1610.000 0.00320
1615.000 0.00178
1620.000 0.00145
1625.000 0.00224
1630.000 0.00351
1635.000 0.00406
1640.000 0.00247
1645.000 0.00327
1650.000 0.00413
1655.000 0.00360
1660.000 0.00523
1665.000 0.00545
1670.000 0.00453
1675.000 0.00357
1680.000 0.00513
1685.000 0.00504
1690.000 0.00482
1695.000 0.00549
1700.000 0.00643
1705.000 0.00530
1710.000 0.00439
1715.000 0.00485
1720.000 0.00577
1725.000 0.00640
1730.000 0.00630
1735.000 0.00734
1740.000 0.00769
1745.000 0.00913
1750.000 0.00916
1755.000 0.00865
1760.000 0.00943
1765.000 0.01091
1770.000 0.01151
1775.000 0.01349
1780.000 0.01191
1785.000 0.01059
1790.000 0.00748
1795.000 0.00870
1800.000 0.01133
1805.000 0.01254
1810.000 0.01458
1815.000 0.01613
1820.000 0.01738
1825.000 0.01654
1830.000 0.01646
1835.000 0.01694
1840.000 0.01664
1845.000 0.01535
1850.000 0.01527
1855.000 0.01665
1860.000 0.01893
1865.000 0.02022
1870.000 0.02136
1875.000 0.02210
1880.000 0.02290
1885.000 0.02433
1890.000 0.02546
1895.000 0.02560
1900.000 0.02313
1905.000 0.02368
1910.000 0.02612
1915.000 0.02707
1920.000 0.02905
1925.000 0.02788
1930.000 0.02592
1935.000 0.02484
1940.000 0.02802
1945.000 0.03529
1950.000 0.03873
1955.000 0.06950
1960.000 0.07769
1965.000 0.03795
1970.000 0.00228
1975.000 0.00000
1980.000 0.02505
1985.000 0.11640
1990.000 0.12057
1995.000 0.06998
2000.000 0.05981
2005.000 0.00000
2010.000 0.00000
2015.000 0.00541
2020.000 0.00000
2025.000 0.00000
2030.000 0.00000
2035.000 0.00000
2040.000 0.00000
2045.000 0.00263
2050.000 0.04102
2055.000 0.05076
2060.000 0.07631
2065.000 0.03717
2070.000 0.03176
2075.000 0.09186
2080.000 0.15561
2085.000 0.12107
2090.000 0.09422
2095.000 0.06781
2100.000 0.16699
2105.000 0.24392
2110.000 0.24608
2115.000 0.20274
2120.000 0.22794
2125.000 0.22575
2130.000 0.07592
2135.000 0.19255
2140.000 0.22341
2145.000 0.23884
