# Wavelength_[A] F_lambda_[norm]
1150.000 353.04910
1155.000 283.72154
1160.000 240.35530
1165.000 214.59363
1170.000 190.62898
1175.000 193.78193
1180.000 210.27017
1185.000 195.82088
1190.000 139.23533
1195.000 111.78641
1200.000 103.89807
1205.000 89.10391
1210.000 102.13980
1215.000 115.03521
1220.000 73.40822
1225.000 46.34530
1230.000 55.63930
1235.000 98.30786
1240.000 208.75395
1245.000 297.92436
1250.000 266.69820
1255.000 236.53728
1260.000 236.32126
1265.000 257.18907
1270.000 280.54151
1275.000 286.88078
1280.000 290.26985
1285.000 306.36979
1290.000 322.09270
1295.000 322.58717
1300.000 291.87420
1305.000 277.92656
1310.000 308.66293
1315.000 321.24754
1320.000 318.45926
1325.000 324.51585
1330.000 308.99380
1335.000 279.96214
1340.000 286.81276
1345.000 325.45286
1350.000 341.29226
1355.000 334.28174
1360.000 312.61472
1365.000 299.26571
1370.000 296.82774
1375.000 293.35499
1380.000 302.74898
1385.000 260.09273
1390.000 260.22982
1395.000 292.02515
1400.000 343.79699
1405.000 362.71680
1410.000 356.23931
1415.000 348.30066
1420.000 342.14349
1425.000 358.62155
1430.000 353.81362
1435.000 376.75807
1440.000 359.75001
1445.000 344.99546
1450.000 335.65213
1455.000 324.18092
1460.000 330.29720
1465.000 351.13600
1470.000 381.28277
1475.000 394.05135
1480.000 410.76304
1485.000 426.23245
1490.000 440.24565
1495.000 425.14034
1500.000 394.80685
1505.000 407.63467
1510.000 425.63276
1515.000 418.43151
1520.000 417.57231
1525.000 392.60052
1530.000 297.94030
1535.000 148.39565
1540.000 115.28731
1545.000 249.56426
1550.000 478.98297
1555.000 588.80322
1560.000 504.34967
1565.000 425.65450
1570.000 411.96719
1575.000 420.80916
1580.000 415.77070
1585.000 402.26157
1590.000 393.74595
1595.000 386.82296
1600.000 372.88906
1605.000 359.58675
1610.000 343.34195
1615.000 347.30732
1620.000 345.77598
1625.000 348.56166
1630.000 351.86494
1635.000 358.62252
1640.000 366.78636
1645.000 386.44257
1650.000 379.24493
1655.000 343.24156
1660.000 338.04438
1665.000 361.50830
1670.000 354.02169
1675.000 355.94785
1680.000 376.79839
1685.000 379.84011
1690.000 373.29303
1695.000 369.64181
1700.000 361.06133
1705.000 347.58203
1710.000 313.20596
1715.000 292.45172
1720.000 329.63738
1725.000 363.73269
1730.000 365.80553
1735.000 368.91936
1740.000 364.93699
1745.000 360.10073
1750.000 355.12914
1755.000 357.60524
1760.000 357.79447
1765.000 350.68817
1770.000 347.26757
1775.000 352.95608
1780.000 348.85986
1785.000 320.79496
1790.000 281.98460
1795.000 307.34567
1800.000 320.88909
1805.000 310.66485
1810.000 304.73432
1815.000 313.98423
1820.000 315.93556
1825.000 310.07073
1830.000 304.71386
1835.000 300.79867
1840.000 293.53314
1845.000 289.55174
1850.000 279.49604
1855.000 267.57809
1860.000 267.92627
1865.000 271.00331
1870.000 267.05047
1875.000 259.39071
1880.000 257.78084
1885.000 250.99420
1890.000 247.12314
1895.000 244.09330
1900.000 237.50427
1905.000 229.00832
1910.000 226.15466
1915.000 218.64130
1920.000 207.87938
1925.000 202.97657
1930.000 204.53196
1935.000 202.38428
1940.000 198.43071
1945.000 193.56083
1950.000 189.23782
1955.000 182.41611
1960.000 173.97782
1965.000 168.85571
1970.000 163.68285
1975.000 165.72186
1980.000 161.32875
1985.000 157.78141
1990.000 145.91810
1995.000 137.93787
2000.000 146.08476
2005.000 139.60552
2010.000 130.70548
2015.000 131.02020
2020.000 128.69940
2025.000 121.17209
2030.000 118.02180
2035.000 120.24505
2040.000 115.32032
2045.000 111.14454
2050.000 110.17921
2055.000 111.77481
2060.000 98.22356
2065.000 94.44157
2070.000 107.53651
2075.000 100.90518
2080.000 104.43452
2085.000 99.12197
2090.000 91.89661
2095.000 84.36530
2100.000 74.19490
2105.000 75.57411
2110.000 82.44520
2115.000 81.30140
2120.000 74.92616
2125.000 77.98560
2130.000 79.61435
2135.000 68.79796
2140.000 66.61249
2145.000 65.19115
2150.000 63.07536
2155.000 65.51985
2160.000 66.52919
2165.000 63.80733
2170.000 61.26737
2175.000 55.52551
2180.000 50.09242
2185.000 50.14243
2190.000 52.00606
2195.000 57.10502
2200.000 58.95282
2205.000 60.10454
2210.000 56.71260
2215.000 57.67168
2220.000 58.62490
2225.000 61.38479
2230.000 64.81188
2235.000 62.30300
2240.000 62.26251
2245.000 63.67631
2250.000 71.48264
2255.000 78.21959
2260.000 74.06593
2265.000 70.31561
2270.000 77.61101
2275.000 74.58572
2280.000 73.45609
2285.000 75.25088
2290.000 78.80356
2295.000 82.63784
2300.000 82.17812
2305.000 86.96888
2310.000 95.99717
2315.000 97.90075
2320.000 90.47467
2325.000 95.48961
2330.000 105.02166
2335.000 110.23350
2340.000 107.71294
2345.000 107.99840
2350.000 111.65859
2355.000 111.96411
2360.000 113.43463
2365.000 111.98897
2370.000 117.42314
2375.000 120.00380
2380.000 123.34984
2385.000 124.32592
2390.000 120.27060
2395.000 124.71106
2400.000 135.21944
2405.000 132.34070
2410.000 130.96659
2415.000 131.95513
2420.000 134.06244
2425.000 139.73992
2430.000 147.29809
2435.000 145.98300
2440.000 146.25997
2445.000 152.88321
2450.000 151.83017
2455.000 161.68265
2460.000 170.92118
2465.000 171.87760
2470.000 161.73132
2475.000 158.82705
2480.000 159.02866
2485.000 161.67502
2490.000 163.50396
2495.000 158.04575
2500.000 166.06141
2505.000 166.20716
2510.000 164.47489
2515.000 163.61092
2520.000 163.76232
2525.000 168.18918
2530.000 176.90307
2535.000 181.50193
2540.000 178.21710
2545.000 176.56054
2550.000 182.20447
2555.000 179.76850
2560.000 177.79324
2565.000 184.94630
2570.000 187.73475
2575.000 184.83565
2580.000 156.23936
2585.000 142.42288
2590.000 159.43966
2595.000 172.86329
2600.000 173.78324
2605.000 178.35416
2610.000 180.81122
2615.000 190.91081
2620.000 195.70997
2625.000 196.79379
2630.000 196.59729
2635.000 195.98094
2640.000 187.36190
2645.000 188.98002
2650.000 194.87443
2655.000 196.29052
2660.000 193.74941
2665.000 190.70537
2670.000 192.62138
2675.000 193.58080
2680.000 194.05947
2685.000 195.62444
2690.000 200.48973
2695.000 193.77876
2700.000 191.48318
2705.000 194.64687
2710.000 195.48144
2715.000 192.78919
2720.000 192.99311
2725.000 193.45498
2730.000 199.10942
2735.000 200.27231
2740.000 199.55965
2745.000 197.10322
2750.000 201.04452
2755.000 198.61847
2760.000 204.65227
2765.000 210.30758
2770.000 205.87332
2775.000 200.19795
2780.000 200.53611
2785.000 197.83748
2790.000 195.48493
2795.000 186.35390
2800.000 178.47758
2805.000 186.34430
2810.000 202.70900
2815.000 207.29940
2820.000 206.76150
2825.000 200.92490
2830.000 199.56251
2835.000 204.15123
2840.000 208.14137
2845.000 203.83217
2850.000 201.46446
2855.000 197.67396
2860.000 201.72134
2865.000 206.95062
2870.000 206.35101
2875.000 206.51962
2880.000 204.83228
2885.000 206.80047
2890.000 210.51213
2895.000 211.43349
2900.000 209.48701
2905.000 205.38002
2910.000 207.77161
2915.000 209.95531
2920.000 211.82831
2925.000 211.29857
2930.000 209.83311
2935.000 206.53419
2940.000 206.81456
2945.000 210.21079
2950.000 208.90772
2955.000 212.62821
2960.000 214.66745
2965.000 210.34670
2970.000 210.76378
2975.000 211.58289
2980.000 214.27714
2985.000 210.40568
2990.000 210.22825
2995.000 206.70351
3000.000 206.22633
3005.000 205.80633
3010.000 210.80913
3015.000 211.88935
3020.000 207.87323
3025.000 201.39485
3030.000 203.23150
3035.000 205.92433
3040.000 209.63573
3045.000 206.83071
3050.000 205.21104
3055.000 207.78930
3060.000 200.39811
3065.000 197.54619
3070.000 202.31924
3075.000 201.46249
3080.000 210.53554
3085.000 219.17043
3090.000 218.41165
3095.000 214.84806
3100.000 220.25708
3105.000 223.12080
3110.000 220.28486
3115.000 220.32381
3120.000 221.03944
3125.000 227.20538
3130.000 227.48415
3135.000 224.93419
3140.000 226.17401
3145.000 235.23248
3150.000 238.95905
3155.000 237.66991
3160.000 231.58389
3165.000 235.88601
3170.000 239.84746
3175.000 242.60429
3180.000 239.42597
3185.000 232.60686
3190.000 234.91941
3195.000 227.14652
3200.000 210.19401
3205.000 219.97499
3210.000 228.39059
3215.000 222.71220
3220.000 214.34053
3225.000 215.99351
3230.000 221.52913
3235.000 222.33732
3240.000 218.79630
3245.000 213.88732
3250.000 212.01563
3255.000 215.65707
3260.000 218.14603
3265.000 213.42328
3270.000 206.99683
3275.000 204.97725
3280.000 204.31884
3285.000 201.12805
3290.000 197.27643
3295.000 195.08024
3300.000 192.86952
3305.000 189.05827
3310.000 186.38299
3315.000 187.46532
3320.000 190.14577
3325.000 191.43609
3330.000 189.81456
3335.000 185.24485
3340.000 182.16518
