# lambda elam
3600.000000 0.127553
3606.206206 0.129567
3612.412412 0.131570
3618.618619 0.133564
3624.824825 0.135549
3631.031031 0.137525
3637.237237 0.139491
3643.443443 0.141448
3649.649650 0.143396
3655.855856 0.145334
3662.062062 0.147263
3668.268268 0.149183
3674.474474 0.151094
3680.680681 0.152995
3686.886887 0.154888
3693.093093 0.156771
3699.299299 0.158645
3705.505506 0.160510
3711.711712 0.162366
3717.917918 0.164213
3724.124124 0.166051
3730.330330 0.167880
3736.536537 0.169700
3742.742743 0.171511
3748.948949 0.173313
3755.155155 0.175106
3761.361361 0.176890
3767.567568 0.178665
3773.773774 0.180432
3779.979980 0.182189
3786.186186 0.183938
3792.392392 0.185678
3798.598599 0.187410
3804.804805 0.189132
3811.011011 0.190846
3817.217217 0.192551
3823.423423 0.194248
3829.629630 0.195936
3835.835836 0.197615
3842.042042 0.199285
3848.248248 0.200947
3854.454454 0.202601
3860.660661 0.204246
3866.866867 0.205882
3873.073073 0.207510
3879.279279 0.209129
3885.485485 0.210740
3891.691692 0.212343
3897.897898 0.213937
3904.104104 0.215523
3910.310310 0.217100
3916.516517 0.218669
3922.722723 0.220230
3928.928929 0.221782
3935.135135 0.223326
3941.341341 0.224862
3947.547548 0.226390
3953.753754 0.227909
3959.959960 0.229420
3966.166166 0.230923
3972.372372 0.232418
3978.578579 0.233905
3984.784785 0.235383
3990.990991 0.236854
3997.197197 0.238316
4003.403403 0.239771
4009.609610 0.241217
4015.815816 0.242656
4022.022022 0.244086
4028.228228 0.245508
4034.434434 0.246923
4040.640641 0.248330
4046.846847 0.249728
4053.053053 0.251119
4059.259259 0.252502
4065.465465 0.253878
4071.671672 0.255245
4077.877878 0.256605
4084.084084 0.257956
4090.290290 0.259301
4096.496496 0.260637
4102.702703 0.261966
4108.908909 0.263287
4115.115115 0.264600
4121.321321 0.265906
4127.527528 0.267204
4133.733734 0.268495
4139.939940 0.269778
4146.146146 0.271053
4152.352352 0.272321
4158.558559 0.273582
4164.764765 0.274835
4170.970971 0.276080
4177.177177 0.277319
4183.383383 0.278549
4189.589590 0.279773
4195.795796 0.280989
4202.002002 0.282197
4208.208208 0.283398
4214.414414 0.284592
4220.620621 0.285779
4226.826827 0.286959
4233.033033 0.288131
4239.239239 0.289296
4245.445445 0.290454
4251.651652 0.291604
4257.857858 0.292748
4264.064064 0.293884
4270.270270 0.295014
4276.476476 0.296136
4282.682683 0.297251
4288.888889 0.298359
4295.095095 0.299460
4301.301301 0.300554
4307.507508 0.301642
4313.713714 0.302722
4319.919920 0.303795
4326.126126 0.304861
4332.332332 0.305921
4338.538539 0.306973
4344.744745 0.308019
4350.950951 0.309058
4357.157157 0.310090
4363.363363 0.311116
4369.569570 0.312134
4375.775776 0.313146
4381.981982 0.314151
4388.188188 0.315150
4394.394394 0.316142
4400.600601 0.317127
4406.806807 0.318105
4413.013013 0.319077
4419.219219 0.320043
4425.425425 0.321001
4431.631632 0.321954
4437.837838 0.322899
4444.044044 0.323839
4450.250250 0.324772
4456.456456 0.325698
4462.662663 0.326618
4468.868869 0.327531
4475.075075 0.328439
4481.281281 0.329339
4487.487487 0.330234
4493.693694 0.331122
4499.899900 0.332004
4506.106106 0.332879
4512.312312 0.333749
4518.518519 0.334612
4524.724725 0.335468
4530.930931 0.336319
4537.137137 0.337164
4543.343343 0.338002
4549.549550 0.338834
4555.755756 0.339660
4561.961962 0.340481
4568.168168 0.341295
4574.374374 0.342103
4580.580581 0.342904
4586.786787 0.343700
4592.992993 0.344491
4599.199199 0.345275
4605.405405 0.346053
4611.611612 0.346825
4617.817818 0.347591
4624.024024 0.348352
4630.230230 0.349106
4636.436436 0.349855
4642.642643 0.350598
4648.848849 0.351336
4655.055055 0.352067
4661.261261 0.352793
4667.467467 0.353513
4673.673674 0.354228
4679.879880 0.354936
4686.086086 0.355639
4692.292292 0.356337
4698.498498 0.357029
4704.704705 0.357715
4710.910911 0.358396
4717.117117 0.359071
4723.323323 0.359741
4729.529530 0.360405
4735.735736 0.361064
4741.941942 0.361717
4748.148148 0.362365
4754.354354 0.363008
4760.560561 0.363645
4766.766767 0.364277
4772.972973 0.364903
4779.179179 0.365524
4785.385385 0.366140
4791.591592 0.366750
4797.797798 0.367356
4804.004004 0.367956
4810.210210 0.368551
4816.416416 0.369140
4822.622623 0.369725
4828.828829 0.370304
4835.035035 0.370879
4841.241241 0.371448
4847.447447 0.372012
4853.653654 0.372571
4859.859860 0.373125
4866.066066 0.373674
4872.272272 0.374218
4878.478478 0.374757
4884.684685 0.375291
4890.890891 0.375821
4897.097097 0.376345
4903.303303 0.376864
4909.509510 0.377379
4915.715716 0.377889
4921.921922 0.378394
4928.128128 0.378894
4934.334334 0.379389
4940.540541 0.379880
4946.746747 0.380366
4952.952953 0.380847
4959.159159 0.381323
4965.365365 0.381795
4971.571572 0.382263
4977.777778 0.382725
4983.983984 0.383183
4990.190190 0.383637
4996.396396 0.384086
5002.602603 0.384530
5008.808809 0.384970
5015.015015 0.385405
5021.221221 0.385836
5027.427427 0.386263
5033.633634 0.386685
5039.839840 0.387102
5046.046046 0.387516
5052.252252 0.387925
5058.458458 0.388329
5064.664665 0.388730
5070.870871 0.389126
5077.077077 0.389517
5083.283283 0.389905
5089.489489 0.390288
5095.695696 0.390667
5101.901902 0.391042
5108.108108 0.391413
5114.314314 0.391779
5120.520521 0.392142
5126.726727 0.392500
5132.932933 0.392855
5139.139139 0.393205
5145.345345 0.393551
5151.551552 0.393894
5157.757758 0.394232
5163.963964 0.394566
5170.170170 0.394897
5176.376376 0.395223
5182.582583 0.395546
5188.788789 0.395864
5194.994995 0.396179
5201.201201 0.396490
5207.407407 0.396797
5213.613614 0.397101
5219.819820 0.397400
5226.026026 0.397696
5232.232232 0.397989
5238.438438 0.398277
5244.644645 0.398562
5250.850851 0.398843
5257.057057 0.399121
5263.263263 0.399395
5269.469469 0.399665
5275.675676 0.399932
5281.881882 0.400195
5288.088088 0.400455
5294.294294 0.400711
5300.500501 0.400963
5306.706707 0.401213
5312.912913 0.401459
5319.119119 0.401701
5325.325325 0.401940
5331.531532 0.402176
5337.737738 0.402408
5343.943944 0.402637
5350.150150 0.402863
5356.356356 0.403085
5362.562563 0.403304
5368.768769 0.403520
5374.974975 0.403733
5381.181181 0.403942
5387.387387 0.404148
5393.593594 0.404351
5399.799800 0.404551
5406.006006 0.404748
5412.212212 0.404942
5418.418418 0.405133
5424.624625 0.405321
5430.830831 0.405505
5437.037037 0.405687
5443.243243 0.405866
5449.449449 0.406041
5455.655656 0.406214
5461.861862 0.406384
5468.068068 0.406551
5474.274274 0.406715
5480.480480 0.406877
5486.686687 0.407035
5492.892893 0.407191
5499.099099 0.407344
5505.305305 0.407494
5511.511512 0.407641
5517.717718 0.407786
5523.923924 0.407928
5530.130130 0.408067
5536.336336 0.408204
5542.542543 0.408338
5548.748749 0.408469
5554.954955 0.408598
5561.161161 0.408724
5567.367367 0.408848
5573.573574 0.408969
5579.779780 0.409088
5585.985986 0.409204
5592.192192 0.409318
5598.398398 0.409429
5604.604605 0.409538
5610.810811 0.409645
5617.017017 0.409749
5623.223223 0.409851
5629.429429 0.409950
5635.635636 0.410047
5641.841842 0.410142
5648.048048 0.410235
5654.254254 0.410325
5660.460460 0.410414
5666.666667 0.410500
5672.872873 0.410583
5679.079079 0.410665
5685.285285 0.410745
5691.491491 0.410822
5697.697698 0.410898
5703.903904 0.410971
5710.110110 0.411042
5716.316316 0.411112
5722.522523 0.411179
5728.728729 0.411244
5734.934935 0.411307
5741.141141 0.411369
5747.347347 0.411428
5753.553554 0.411486
5759.759760 0.411542
5765.965966 0.411596
5772.172172 0.411648
5778.378378 0.411698
5784.584585 0.411747
5790.790791 0.411793
5796.996997 0.411838
5803.203203 0.411882
5809.409409 0.411923
5815.615616 0.411963
5821.821822 0.412002
5828.028028 0.412038
5834.234234 0.412073
5840.440440 0.412107
5846.646647 0.412139
5852.852853 0.412169
5859.059059 0.412198
5865.265265 0.412225
5871.471471 0.412251
5877.677678 0.412276
5883.883884 0.412299
5890.090090 0.412321
5896.296296 0.412341
5902.502503 0.412360
5908.708709 0.412377
5914.914915 0.412393
5921.121121 0.412408
5927.327327 0.412422
5933.533534 0.412434
5939.739740 0.412446
5945.945946 0.412456
5952.152152 0.412464
5958.358358 0.412472
5964.564565 0.412478
5970.770771 0.412484
5976.976977 0.412488
5983.183183 0.412491
5989.389389 0.412493
5995.595596 0.412494
6001.801802 0.412494
6008.008008 0.412493
6014.214214 0.412491
6020.420420 0.412489
6026.626627 0.412485
6032.832833 0.412480
6039.039039 0.412474
6045.245245 0.412468
6051.451451 0.412461
6057.657658 0.412453
6063.863864 0.412444
6070.070070 0.412434
6076.276276 0.412424
6082.482482 0.412413
6088.688689 0.412401
6094.894895 0.412388
6101.101101 0.412375
6107.307307 0.412361
6113.513514 0.412347
6119.719720 0.412332
6125.925926 0.412316
6132.132132 0.412300
6138.338338 0.412283
6144.544545 0.412266
6150.750751 0.412248
6156.956957 0.412230
6163.163163 0.412211
6169.369369 0.412192
6175.575576 0.412172
6181.781782 0.412153
6187.987988 0.412132
6194.194194 0.412112
6200.400400 0.412091
6206.606607 0.412070
6212.812813 0.412048
6219.019019 0.412027
6225.225225 0.412005
6231.431431 0.411983
6237.637638 0.411960
6243.843844 0.411938
6250.050050 0.411915
6256.256256 0.411893
6262.462462 0.411870
6268.668669 0.411847
6274.874875 0.411824
6281.081081 0.411801
6287.287287 0.411778
6293.493493 0.411755
6299.699700 0.411732
6305.905906 0.411709
6312.112112 0.411686
6318.318318 0.411663
6324.524525 0.411641
6330.730731 0.411618
6336.936937 0.411596
6343.143143 0.411574
6349.349349 0.411552
6355.555556 0.411530
6361.761762 0.411509
6367.967968 0.411488
6374.174174 0.411467
6380.380380 0.411446
6386.586587 0.411426
6392.792793 0.411406
6398.998999 0.411387
6405.205205 0.411368
6411.411411 0.411349
6417.617618 0.411331
6423.823824 0.411313
6430.030030 0.411296
6436.236236 0.411280
6442.442442 0.411263
6448.648649 0.411248
6454.854855 0.411233
6461.061061 0.411218
6467.267267 0.411205
6473.473473 0.411191
6479.679680 0.411179
6485.885886 0.411167
6492.092092 0.411156
6498.298298 0.411146
6504.504505 0.411136
6510.710711 0.411127
6516.916917 0.411119
6523.123123 0.411112
6529.329329 0.411105
6535.535536 0.411099
6541.741742 0.411094
6547.947948 0.411090
6554.154154 0.411086
6560.360360 0.411083
6566.566567 0.411080
6572.772773 0.411079
6578.978979 0.411078
6585.185185 0.411077
6591.391391 0.411078
6597.597598 0.411079
6603.803804 0.411080
6610.010010 0.411083
6616.216216 0.411086
6622.422422 0.411089
6628.628629 0.411093
6634.834835 0.411098
6641.041041 0.411103
6647.247247 0.411109
6653.453453 0.411116
6659.659660 0.411123
6665.865866 0.411131
6672.072072 0.411139
6678.278278 0.411148
6684.484484 0.411157
6690.690691 0.411167
6696.896897 0.411178
6703.103103 0.411189
6709.309309 0.411200
6715.515516 0.411213
6721.721722 0.411225
6727.927928 0.411238
6734.134134 0.411252
6740.340340 0.411266
6746.546547 0.411281
6752.752753 0.411296
6758.958959 0.411311
6765.165165 0.411327
6771.371371 0.411344
6777.577578 0.411361
6783.783784 0.411378
6789.989990 0.411396
6796.196196 0.411414
6802.402402 0.411433
6808.608609 0.411452
6814.814815 0.411471
6821.021021 0.411491
6827.227227 0.411511
6833.433433 0.411532
6839.639640 0.411553
6845.845846 0.411575
6852.052052 0.411596
6858.258258 0.411619
6864.464464 0.411641
6870.670671 0.411664
6876.876877 0.411687
6883.083083 0.411711
6889.289289 0.411734
6895.495495 0.411759
6901.701702 0.411783
6907.907908 0.411808
6914.114114 0.411833
6920.320320 0.411858
6926.526527 0.411884
6932.732733 0.411910
6938.938939 0.411936
6945.145145 0.411962
6951.351351 0.411989
6957.557558 0.412016
6963.763764 0.412043
6969.969970 0.412071
6976.176176 0.412098
6982.382382 0.412126
6988.588589 0.412154
6994.794795 0.412182
7001.001001 0.412211
7007.207207 0.412239
7013.413413 0.412268
7019.619620 0.412297
7025.825826 0.412326
