ap_id	lambda	zero_point
  157     3900      13.92
  157     3902      13.98
  157     3904      15.60
  157     3906      16.49
  157     3908      16.84
  157     3910      17.17
  157     3912      17.43
  157     3914      17.61
  157     3916      17.76
  157     3918      17.84
  157     3920      17.90
  157     3922      17.87
  157     3924      17.83
  157     3926      17.83
  157     3928      17.76
  157     3930      17.66
  157     3932      17.49
  157     3934      17.02
  157     3936      14.63
  156     3926      14.70
  156     3928      15.78
  156     3930      16.42
  156     3932      16.80
  156     3934      17.12
  156     3936      17.37
  156     3938      17.64
  156     3940      17.83
  156     3942      17.96
  156     3944      18.06
  156     3946      18.12
  156     3948      18.12
  156     3950      18.13
  156     3952      18.05
  156     3954      17.97
  156     3956      17.84
  156     3958      17.66
  156     3960      17.39
  156     3962      16.02
  155     3952      15.61
  155     3954      16.29
  155     3956      16.71
  155     3958      17.06
  155     3960      17.38
  155     3962      17.62
  155     3964      17.78
  155     3966      17.90
  155     3968      17.92
  155     3970      17.84
  155     3972      18.05
  155     3974      18.13
  155     3976      18.15
  155     3978      18.10
  155     3980      18.01
  155     3982      17.85
  155     3984      17.68
  155     3986      17.44
  155     3988      16.82
  154     3978      15.93
  154     3980      16.39
  154     3982      16.79
  154     3984      17.14
  154     3986      17.45
  154     3988      17.69
  154     3990      17.89
  154     3992      18.04
  154     3994      18.15
  154     3996      18.22
  154     3998      18.25
  154     4000      18.26
  154     4002      18.24
  154     4004      18.14
  154     4006      18.06
  154     4008      17.94
  154     4010      17.75
  154     4012      17.53
  154     4014      17.25
  153     4002      15.39
  153     4004      15.95
  153     4006      16.44
  153     4008      16.83
  153     4010      17.18
  153     4012      17.50
  153     4014      17.74
  153     4016      17.92
  153     4018      18.07
  153     4020      18.16
  153     4022      18.22
  153     4024      18.19
  153     4026      18.09
  153     4028      18.20
  153     4030      18.20
  153     4032      18.14
  153     4034      18.04
  153     4036      17.87
  153     4038      17.68
  153     4040      17.43
  152     4028      15.36
  152     4030      15.92
  152     4032      16.38
  152     4034      16.81
  152     4036      17.17
  152     4038      17.50
  152     4040      17.76
  152     4042      17.96
  152     4044      18.12
  152     4046      18.24
  152     4048      18.33
  152     4050      18.38
  152     4052      18.40
  152     4054      18.40
  152     4056      18.35
  152     4058      18.22
  152     4060      18.17
  152     4062      18.02
  152     4064      17.83
  152     4066      17.62
  152     4068      17.36
  151     4056      15.82
  151     4058      16.24
  151     4060      16.73
  151     4062      17.12
  151     4064      17.44
  151     4066      17.72
  151     4068      17.93
  151     4070      18.11
  151     4072      18.26
  151     4074      18.34
  151     4076      18.41
  151     4078      18.46
  151     4080      18.47
  151     4082      18.43
  151     4084      18.39
  151     4086      18.31
  151     4088      18.17
  151     4090      18.01
  151     4092      17.80
  151     4094      17.57
  150     4084      16.08
  150     4086      16.54
  150     4088      16.96
  150     4090      17.30
  150     4092      17.60
  150     4094      17.83
  150     4096      17.99
  150     4098      18.01
  150     4100      18.08
  150     4102      18.08
  150     4104      18.29
  150     4106      18.46
  150     4108      18.50
  150     4110      18.51
  150     4112      18.45
  150     4114      18.36
  150     4116      18.24
  150     4118      18.06
  150     4120      17.85
  150     4122      17.62
  149     4110      15.76
  149     4112      16.28
  149     4114      16.72
  149     4116      17.11
  149     4118      17.45
  149     4120      17.71
  149     4122      17.94
  149     4124      18.13
  149     4126      18.27
  149     4128      18.37
  149     4130      18.46
  149     4132      18.50
  149     4134      18.52
  149     4136      18.51
  149     4138      18.48
  149     4140      18.42
  149     4142      18.32
  149     4144      18.18
  149     4146      18.03
  149     4148      17.85
  149     4150      17.62
  148     4138      15.79
  148     4140      16.27
  148     4142      16.69
  148     4144      17.08
  148     4146      17.41
  148     4148      17.69
  148     4150      17.92
  148     4152      18.10
  148     4154      18.24
  148     4156      18.36
  148     4158      18.44
  148     4160      18.50
  148     4162      18.52
  148     4164      18.53
  148     4166      18.50
  148     4168      18.44
  148     4170      18.36
  148     4172      18.25
  148     4174      18.10
  148     4176      17.92
  148     4178      17.71
  147     4168      16.22
  147     4170      16.65
  147     4172      17.05
  147     4174      17.36
  147     4176      17.66
  147     4178      17.88
  147     4180      18.07
  147     4182      18.22
  147     4184      18.34
  147     4186      18.42
  147     4188      18.49
  147     4190      18.51
  147     4192      18.51
  147     4194      18.48
  147     4196      18.40
  147     4198      18.24
  147     4200      18.05
  147     4202      18.01
  147     4204      17.92
  147     4206      17.77
  147     4208      17.55
  146     4196      16.04
  146     4198      16.39
  146     4200      16.69
  146     4202      17.12
  146     4204      17.48
  146     4206      17.75
  146     4208      17.97
  146     4210      18.14
  146     4212      18.26
  146     4214      18.40
  146     4216      18.46
  146     4218      18.52
  146     4220      18.54
  146     4222      18.53
  146     4224      18.49
  146     4226      18.45
  146     4228      18.36
  146     4230      18.26
  146     4232      18.11
  146     4234      17.94
  146     4236      17.73
  145     4224      15.87
  145     4226      16.32
  145     4228      16.73
  145     4230      17.10
  145     4232      17.43
  145     4234      17.67
  145     4236      17.89
  145     4238      18.08
  145     4240      18.23
  145     4242      18.35
  145     4244      18.44
  145     4246      18.51
  145     4248      18.54
  145     4250      18.57
  145     4252      18.55
  145     4254      18.50
  145     4256      18.45
  145     4258      18.36
  145     4260      18.25
  145     4262      18.11
  145     4264      17.93
  145     4266      17.72
  144     4254      16.01
  144     4256      16.48
  144     4258      16.87
  144     4260      17.22
  144     4262      17.51
  144     4264      17.76
  144     4266      17.96
  144     4268      18.14
  144     4270      18.28
  144     4272      18.39
