# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3650.000 0.07 0.76 11.40 2.62 0.12 2.29 19.74 7.87
3650.500 0.07 0.77 11.40 2.63 0.12 2.30 19.74 7.88
3651.000 0.07 0.77 11.40 2.63 0.12 2.30 19.74 7.90
3651.500 0.07 0.77 11.40 2.64 0.12 2.31 19.74 7.92
3652.000 0.07 0.77 11.40 2.65 0.12 2.32 19.74 7.94
3652.500 0.07 0.77 11.40 2.65 0.12 2.32 19.74 7.96
3653.000 0.07 0.78 11.40 2.66 0.12 2.33 19.74 7.98
3653.500 0.07 0.78 11.40 2.67 0.12 2.34 19.74 8.00
3654.000 0.07 0.78 11.40 2.67 0.12 2.34 19.74 8.02
3654.500 0.07 0.78 11.40 2.68 0.12 2.35 19.75 8.04
3655.000 0.07 0.79 11.40 2.68 0.12 2.36 19.75 8.05
3655.500 0.07 0.79 11.40 2.69 0.12 2.36 19.75 8.07
3656.000 0.07 0.79 11.40 2.70 0.12 2.37 19.75 8.09
3656.500 0.07 0.79 11.40 2.70 0.12 2.37 19.75 8.11
3657.000 0.07 0.79 11.40 2.71 0.12 2.38 19.75 8.12
3657.500 0.07 0.79 11.40 2.71 0.12 2.38 19.75 8.14
3658.000 0.07 0.79 11.40 2.72 0.12 2.38 19.75 8.16
3658.500 0.07 0.80 11.40 2.72 0.12 2.39 19.75 8.17
3659.000 0.07 0.80 11.40 2.73 0.12 2.39 19.75 8.19
3659.500 0.07 0.80 11.40 2.73 0.12 2.40 19.75 8.20
3660.000 0.07 0.80 11.40 2.74 0.12 2.40 19.75 8.22
3660.500 0.07 0.80 11.40 2.74 0.12 2.41 19.75 8.23
3661.000 0.07 0.80 11.40 2.75 0.12 2.41 19.75 8.25
3661.500 0.07 0.80 11.40 2.75 0.12 2.41 19.75 8.26
3662.000 0.07 0.81 11.40 2.76 0.12 2.42 19.75 8.28
3662.500 0.07 0.81 11.40 2.77 0.12 2.42 19.75 8.30
3663.000 0.07 0.81 11.41 2.77 0.12 2.42 19.75 8.31
3663.500 0.07 0.81 11.41 2.78 0.12 2.43 19.75 8.33
3664.000 0.07 0.81 11.41 2.78 0.12 2.43 19.76 8.34
3664.500 0.07 0.81 11.41 2.79 0.12 2.43 19.76 8.36
3665.000 0.07 0.81 11.41 2.79 0.12 2.44 19.76 8.37
3665.500 0.07 0.81 11.41 2.80 0.12 2.44 19.76 8.39
3666.000 0.07 0.81 11.41 2.80 0.12 2.44 19.76 8.40
3666.500 0.07 0.82 11.41 2.80 0.12 2.45 19.76 8.41
3667.000 0.07 0.82 11.41 2.81 0.12 2.45 19.76 8.42
3667.500 0.07 0.82 11.41 2.81 0.12 2.45 19.76 8.43
3668.000 0.07 0.82 11.41 2.81 0.12 2.46 19.76 8.43
3668.500 0.07 0.82 11.41 2.81 0.12 2.46 19.76 8.44
3669.000 0.07 0.82 11.41 2.82 0.12 2.46 19.76 8.45
3669.500 0.07 0.82 11.41 2.82 0.12 2.47 19.76 8.45
3670.000 0.07 0.82 11.41 2.82 0.12 2.47 19.76 8.46
3670.500 0.07 0.82 11.41 2.82 0.13 2.47 19.76 8.47
3671.000 0.07 0.82 11.41 2.82 0.13 2.47 19.76 8.47
3671.500 0.07 0.82 11.41 2.83 0.13 2.47 19.76 8.48
3672.000 0.07 0.83 11.41 2.83 0.13 2.48 19.76 8.49
3672.500 0.07 0.83 11.41 2.83 0.13 2.48 19.76 8.50
3673.000 0.07 0.83 11.41 2.83 0.13 2.48 19.76 8.50
3673.500 0.07 0.83 11.41 2.84 0.13 2.48 19.76 8.51
3674.000 0.07 0.83 11.41 2.84 0.13 2.48 19.76 8.52
3674.500 0.07 0.83 11.41 2.84 0.13 2.48 19.76 8.52
3675.000 0.07 0.83 11.41 2.84 0.13 2.48 19.76 8.53
3675.500 0.07 0.83 11.41 2.85 0.13 2.48 19.76 8.54
3676.000 0.07 0.83 11.41 2.85 0.13 2.49 19.76 8.54
3676.500 0.07 0.83 11.41 2.85 0.13 2.49 19.76 8.55
3677.000 0.07 0.83 11.41 2.85 0.13 2.49 19.76 8.55
3677.500 0.07 0.83 11.41 2.85 0.13 2.49 19.76 8.56
3678.000 0.07 0.83 11.41 2.85 0.13 2.49 19.76 8.56
3678.500 0.07 0.83 11.41 2.86 0.13 2.49 19.76 8.57
3679.000 0.07 0.83 11.41 2.86 0.13 2.49 19.76 8.57
3679.500 0.07 0.83 11.41 2.86 0.13 2.49 19.76 8.58
3680.000 0.07 0.83 11.41 2.86 0.13 2.49 19.76 8.58
3680.500 0.07 0.83 11.41 2.86 0.13 2.50 19.76 8.59
3681.000 0.07 0.83 11.41 2.86 0.13 2.50 19.76 8.59
3681.500 0.07 0.83 11.41 2.87 0.13 2.50 19.76 8.60
3682.000 0.07 0.84 11.41 2.87 0.13 2.51 19.76 8.60
3682.500 0.07 0.84 11.41 2.87 0.13 2.51 19.76 8.61
3683.000 0.07 0.84 11.41 2.87 0.13 2.51 19.76 8.61
3683.500 0.07 0.84 11.41 2.87 0.13 2.52 19.76 8.62
3684.000 0.07 0.84 11.41 2.87 0.13 2.52 19.76 8.62
3684.500 0.07 0.84 11.41 2.88 0.13 2.52 19.76 8.63
3685.000 0.07 0.84 11.41 2.88 0.13 2.53 19.77 8.63
3685.500 0.07 0.84 11.41 2.88 0.13 2.53 19.77 8.64
3686.000 0.07 0.85 11.41 2.88 0.13 2.54 19.77 8.65
3686.500 0.07 0.85 11.41 2.89 0.13 2.55 19.77 8.66
3687.000 0.07 0.85 11.41 2.89 0.13 2.55 19.77 8.68
3687.500 0.07 0.85 11.41 2.90 0.13 2.56 19.77 8.69
