# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3650.000 0.17 1.26 7.42 4.34 0.29 3.79 12.86 13.01
3650.500 0.17 1.27 7.42 4.34 0.30 3.80 12.86 13.03
3651.000 0.17 1.27 7.42 4.35 0.30 3.81 12.86 13.06
3651.500 0.17 1.27 7.43 4.36 0.30 3.82 12.86 13.08
3652.000 0.17 1.28 7.43 4.37 0.30 3.83 12.86 13.11
3652.500 0.17 1.28 7.43 4.38 0.30 3.84 12.86 13.14
3653.000 0.17 1.28 7.43 4.39 0.30 3.85 12.87 13.17
3653.500 0.17 1.29 7.43 4.40 0.30 3.86 12.87 13.20
3654.000 0.17 1.29 7.43 4.41 0.30 3.87 12.87 13.23
3654.500 0.17 1.29 7.43 4.42 0.30 3.88 12.87 13.26
3655.000 0.17 1.30 7.43 4.43 0.30 3.89 12.87 13.29
3655.500 0.17 1.30 7.43 4.44 0.30 3.90 12.87 13.32
3656.000 0.18 1.30 7.43 4.45 0.30 3.90 12.87 13.35
3656.500 0.18 1.30 7.43 4.46 0.30 3.91 12.88 13.37
3657.000 0.18 1.31 7.43 4.47 0.30 3.92 12.88 13.40
3657.500 0.18 1.31 7.44 4.47 0.30 3.92 12.88 13.42
3658.000 0.18 1.31 7.44 4.48 0.31 3.93 12.88 13.45
3658.500 0.18 1.31 7.44 4.49 0.31 3.94 12.88 13.47
3659.000 0.18 1.31 7.44 4.50 0.31 3.94 12.88 13.49
3659.500 0.18 1.32 7.44 4.51 0.31 3.95 12.88 13.52
3660.000 0.18 1.32 7.44 4.51 0.31 3.96 12.88 13.54
3660.500 0.18 1.32 7.44 4.52 0.31 3.96 12.89 13.56
3661.000 0.18 1.32 7.44 4.53 0.31 3.97 12.89 13.59
3661.500 0.18 1.32 7.44 4.54 0.31 3.97 12.89 13.61
3662.000 0.18 1.33 7.44 4.54 0.31 3.98 12.89 13.63
3662.500 0.18 1.33 7.44 4.55 0.31 3.98 12.89 13.66
3663.000 0.18 1.33 7.44 4.56 0.31 3.99 12.89 13.68
3663.500 0.18 1.33 7.44 4.57 0.31 3.99 12.89 13.70
3664.000 0.18 1.33 7.44 4.58 0.31 4.00 12.89 13.73
3664.500 0.18 1.33 7.44 4.58 0.31 4.00 12.89 13.75
3665.000 0.18 1.34 7.44 4.59 0.31 4.01 12.89 13.77
3665.500 0.18 1.34 7.45 4.60 0.31 4.01 12.90 13.79
3666.000 0.18 1.34 7.45 4.60 0.31 4.02 12.90 13.81
3666.500 0.18 1.34 7.45 4.61 0.31 4.02 12.90 13.83
3667.000 0.18 1.34 7.45 4.61 0.31 4.03 12.90 13.84
3667.500 0.18 1.34 7.45 4.62 0.31 4.03 12.90 13.85
